"Financial Year","Return Type","Name","Received From","Date","Value"
"2020-21","Significant Third Party Return","National Disability Services Limited","NSW - Crown Solicitors Office","","17580"
"2020-21","Significant Third Party Return","National Disability Services Limited","CW - National Disability Insurance Agency","","1703136"
"2020-21","Significant Third Party Return","National Disability Services Limited","CW - Department of Industry, Science, Energy & Resources","","44000"
"2020-21","Significant Third Party Return","National Disability Services Limited","NSW - Department of Customer Services","","789744"
"2020-21","Significant Third Party Return","National Disability Services Limited","NSW - Department of Customer Service (NSW Gaming and Liquor)","","19491"
"2020-21","Significant Third Party Return","National Disability Services Limited","VIC - Department of Jobs, Precincts and Regions","","165281"
"2020-21","Significant Third Party Return","National Disability Services Limited","ACT - Office for Disability","","99000"
"2020-21","Significant Third Party Return","National Disability Services Limited","NSW - Department for Regional NSW","","1754757"
"2020-21","Political Campaigner Return","New South Wales Nurses and Midwives' Association","Australian Taxation Office","31/08/2020","12500"
"2020-21","Political Campaigner Return","New South Wales Nurses and Midwives' Association","Australian Taxation Office","30/09/2020","12500"
"2020-21","Political Campaigner Return","New South Wales Nurses and Midwives' Association","Australian Taxation Office","31/10/2020","12500"
"2020-21","Political Campaigner Return","New South Wales Nurses and Midwives' Association","Central Link (PPL Fund - Staff Maternity Leave Payment)","15/01/2021","1507"
"2020-21","Political Campaigner Return","New South Wales Nurses and Midwives' Association","Australian Taxation Office","31/07/2020","12500"
"2020-21","Political Campaigner Return","New South Wales Nurses and Midwives' Association","Central Link (PPL Fund - Staff Maternity Leave Payment)","29/01/2021","1507"
"2020-21","Political Campaigner Return","New South Wales Nurses and Midwives' Association","Central Link (PPL Fund - Staff Maternity Leave Payment)","13/02/2021","1507"
"2020-21","Political Campaigner Return","New South Wales Nurses and Midwives' Association","Central Link (PPL Fund - Staff Maternity Leave Payment)","26/02/2021","1507"
"2020-21","Political Campaigner Return","New South Wales Nurses and Midwives' Association","Central Link (PPL Fund - Staff Maternity Leave Payment)","12/03/2021","1507"
"2020-21","Political Campaigner Return","New South Wales Nurses and Midwives' Association","Central Link (PPL Fund - Staff Maternity Leave Payment)","17/12/2020","4523"
"2020-21","Political Campaigner Return","New South Wales Nurses and Midwives' Association","Central Link (PPL Fund - Staff Maternity Leave Payment)","30/12/2020","1507"
"2020-21","Associated Entity Return","Progressive Business Association Inc","Jobkeeoer","06/10/2020","6000"
"2020-21","Associated Entity Return","Progressive Business Association Inc","Jobkeeper","11/11/2020","2400"
"2020-21","Associated Entity Return","Progressive Business Association Inc","Jobkeeper","09/09/2020","9000"
"2020-21","Associated Entity Return","Progressive Business Association Inc","Jobkeeper","12/01/2021","3600"
"2020-21","Associated Entity Return","Progressive Business Association Inc","Jobkeeper","07/02/2021","2000"
"2020-21","Associated Entity Return","Progressive Business Association Inc","Jobkeeper","05/03/2021","2000"
"2020-21","Associated Entity Return","Progressive Business Association Inc","Jobkeeper","08/04/2021","2000"
"2020-21","Associated Entity Return","Progressive Business Association Inc","Jobkeeper","08/07/2020","6000"
"2020-21","Associated Entity Return","Progressive Business Association Inc","Jobkeeper","06/08/2020","6000"
"2020-21","Associated Entity Return","Progressive Business Association Inc","Jobkeeper","06/12/2020","2400"
"2020-21","Associated Entity Return","Progressive Business Association Inc","Department Jobs, Precincts and Regions","11/08/2020","5000"
"2020-21","Associated Entity Return","Progressive Business Association Inc","Department Jobs, Precincts and Regions","03/08/2020","5000"
"2020-21","Associated Entity Return","Progressive Business Association Inc","Department of Jobs Precincts and Regions","12/10/2020","10000"
"2020-21","Associated Entity Return","The Australian Workers' Union Victorian Branch","Department of Jobs, Precincts and Regions","23/06/2021","55000"
"2020-21","Associated Entity Return","The Australian Workers' Union Victorian Branch","Worksafe Victoria","13/05/2021","132000"
"2020-21","Associated Entity Return","The Australian Workers' Union Victorian Branch","Worksafe Victoria","11/03/2021","220000"
"2020-21","Associated Entity Return","The Australian Workers' Union Victorian Branch","Worksafe Victoria","16/02/2021","132000"
"2020-21","Associated Entity Return","The Australian Workers' Union Victorian Branch","Worksafe Victoria","16/11/2020","132000"
"2020-21","Associated Entity Return","The Australian Workers' Union Victorian Branch","Worksafe Victoria","14/08/2020","132000"
"2020-21","Associated Entity Return","The Australian Workers' Union Victorian Branch","Worksafe Victoria","24/06/2021","165000"
"2020-21","Associated Entity Return","The Chifley Research Centre Ltd","Department of Finance","","267036"
"2020-21","Associated Entity Return","The Green Institute Limited","Department of Finance","05/03/2021","100163"
"2020-21","Associated Entity Return","The Menzies Research Centre Limited","Department of Finance","01/04/2021","267854"
"2020-21","Associated Entity Return","The Page Research Centre Ltd","Department of Finance","23/03/2021","129425"
"2020-21","Political Campaigner Return","Universities Australia","Dept Education Skills and employment","24/06/2021","660000"
"2020-21","Political Campaigner Return","Universities Australia","Dept Education Skills and employment","09/07/2020","660000"
"2020-21","Political Campaigner Return","Universities Australia","Dept of Social Services","03/06/2021","1117195"
"2019-20","Political Campaigner Return","AEU NSW Teachers Federation","Australian Taxation Office","11/05/2020","50000"
"2019-20","Political Party Return","Animal Justice Party","Australian Taxation Office","","21224"
"2019-20","Political Campaigner Return","Australian Automobile Association","Department of Infrastructure & Regional Development","28/08/2019","2200000"
"2019-20","Political Campaigner Return","Australian Chamber of Commerce and Industry","Fair Work Ombudsman and registered Organisations Commission Entity","30/06/2020","825000"
"2019-20","Political Campaigner Return","Australian Chamber of Commerce and Industry","ATO","30/06/2020","50000"
"2019-20","Political Campaigner Return","Australian Chamber of Commerce and Industry","The Treasury","30/06/2020","49486"
"2019-20","Political Campaigner Return","Australian Council of Trade Unions","Victorian WorkCover Authority T/A WorkSafe Victoria","11/03/2020","47190"
"2019-20","Political Campaigner Return","Australian Education Union ","SRO Victoria Payroll Tax","24/04/2020","89994"
"2019-20","Associated Entity Return","Australian Federated Union of Locomotive Employees","ATO Cash Flow Boost","18/05/2020","7292"
"2019-20","Associated Entity Return","Australian Federated Union of Locomotive Employees","ATO Cash Flow Boost","10/06/2020","9562"
"2019-20","Associated Entity Return","Australian Federated Union of Locomotive Employees","ATO Cash Flow Boost","14/05/2020","32814"
"2019-20","Political Party Return","Australian Greens","Dept Finance","25/06/2020","52353"
"2019-20","Political Party Return","Australian Greens","Dept Finance","24/07/2019","220000"
"2019-20","Political Party Return","Australian Labor Party (ALP)","Dept of Finance","03/01/2020","63605"
"2019-20","Political Party Return","Australian Labor Party (ALP)","Dept of Finance","02/09/2019","1100000"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE, and Aged Care Training Initiatives","13/08/2019","10844"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE, and Aged Care Training Initiatives","26/07/2019","10844"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE, and Aged Care Training Initiatives","11/12/2019","230344"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE, and Aged Care Training Initiatives","08/11/2019","10844"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of State Growth (Skills Tasmania)","30/06/2020","10431"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE, and Aged Care Training Initiatives","14/02/2020","10145"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE, and Aged Care Training Initiatives","03/04/2020","10494"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE, and Aged Care Training Initiatives","13/11/2019","10494"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE, and Aged Care Training Initiatives","11/09/2019","10494"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE, and Aged Care Training Initiatives","12/06/2020","10494"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE, and Aged Care Training Initiatives","05/05/2020","10844"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE, and Aged Care Training Initiatives","13/03/2020","10844"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE, and Aged Care Training Initiatives","14/01/2020","10844"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of State Growth (Skills Tasmania)","26/05/2020","1092"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of State Growth (Skills Tasmania)","04/10/2019","51552"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of State Growth (Skills Tasmania)","04/09/2019","23043"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of State Growth (Skills Tasmania)","06/08/2019","46959"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of State Growth (Skills Tasmania)","31/07/2019","60587"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Australian Government Department of Health","29/08/2019","21267"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Australian Government Department of Health","19/09/2019","21266"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","13/08/2019","2470"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Australian Government Department of Health","17/03/2020","21266"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","11/09/2019","3403"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","26/07/2019","266"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","10/07/2019","1762"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","11/12/2019","2767"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","12/06/2020","372"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","05/05/2020","958"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","03/04/2020","1602"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","13/03/2020","844"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","14/02/2020","1416"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","14/01/2020","5174"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","13/11/2019","2508"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","08/11/2019","11000"
"2019-20","Political Campaigner Return","Business Council of Australia","Dept of Prime Minister & Cabinet (ANZLF Indigenous Business Sector)","15/05/2020","55000"
"2019-20","Associated Entity Return","CEPU Communications Division (CWU QLD Branch)","ATO Covid-19 Payment","07/06/2020","30424"
"2019-20","Associated Entity Return","CEPU Communications Division (CWU QLD Branch)","ATO Covid-19 Payment","03/04/2020","19576"
"2019-20","Associated Entity Return","CEPU Plumbing Division - NSW (CEPU of Australia NSW Branch)","ATO","23/04/2020","50000"
"2019-20","Associated Entity Return","Health Services Union of Victoria No.1 Branch","Australian Tax office-Job Keeper","19/05/2020","96000"
"2019-20","Associated Entity Return","Health Services Union of Victoria No.1 Branch","Australian Taxation Office- Job Keeper","04/06/2020","96000"
"2019-20","Associated Entity Return","Laneway Assets Pty Ltd","Australian Taxation Office","17/06/2020","15000"
"2019-20","Associated Entity Return","Laneway Assets Pty Ltd","Australian Taxation Office","21/05/2020","15000"
"2019-20","Political Party Return","Liberal Party of Australia","Department of Finance","24/01/2020","75577"
"2019-20","Political Party Return","Liberal Party of Australia","Department of Finance","25/07/2019","1100000"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Office of The Leader Of The Opposition NT","04/10/2019","80"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Office of The Leader Of The Opposition NT","29/01/2020","85"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Northern Territory Government","31/07/2019","160"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of Education, Skills and Employment","26/06/2020","3581079"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of Economic Development, Jobs, Transport & Resources","02/12/2019","150"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of Primary Industry and Resources NT","13/02/2020","425"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of Primary Industry and Resources NT","16/12/2019","9680"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of Trade, Business and Innovation NT","08/10/2019","160"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of Trade, Business and Innovation NT","07/10/2019","80"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of Trade, Business and Innovation NT","03/10/2019","160"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of Trade, Business and Innovation NT","26/09/2019","80"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of Trade, Business and Innovation NT","14/10/2019","160"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of Trade, Business and Innovation NT","17/02/2020","170"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of Trade, Business and Innovation NT","14/02/2020","170"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of the Chief Minister - NT","15/10/2019","160"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of the Chief Minister - NT","07/10/2019","80"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of Industry, Science, Energy And Resources","12/03/2020","1020"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of the Chief Minister - NT","05/02/2020","170"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of the Legislative Of Assembly - NT","04/02/2020","85"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of Trade, Business and Innovation NT","31/01/2020","85"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of Primary Industry and Resources NT","31/07/2019","750"
"2019-20","Political Campaigner Return","New South Wales Nurses and Midwives' Association","NSW Ministry of Health","","98233"
"2019-20","Political Campaigner Return","New South Wales Nurses and Midwives' Association","Centrelink","","13330"
"2019-20","Associated Entity Return","Progressive Business Association Inc","Victorian Department of Jobs, Precincts and Regions ","09/06/2020","10000"
"2019-20","Associated Entity Return","Progressive Business Association Inc","Australian Tax Office Jobkeeper","04/06/2020","6000"
"2019-20","Associated Entity Return","Progressive Business Association Inc","Australian Tax Office Jobkeeper","07/05/2020","6000"
"2019-20","Associated Entity Return","The Australian Workers' Union Victorian Branch","Worksafe Victoria","10/12/2019","198000"
"2019-20","Associated Entity Return","The Australian Workers' Union Victorian Branch","Worksafe Victoria","17/09/2019","220000"
"2019-20","Associated Entity Return","The Australian Workers' Union Victorian Branch","Worksafe Victoria","11/03/2020","132000"
"2019-20","Associated Entity Return","The Chifley Research Centre Ltd","Dept of Finance","25/03/2020","267036"
"2019-20","Associated Entity Return","The Green Institute Limited","Department of Finance","25/03/2020","99858"
"2019-20","Associated Entity Return","The Menzies Research Centre Limited","Department of Finance","26/03/2020","267036"
"2019-20","Political Campaigner Return","The Minderoo Foundation Pty Ltd atf The Minderoo Foundation Trust","WA Government - Department of Health","08/05/2020","3559647"
"2019-20","Political Campaigner Return","The Minderoo Foundation Pty Ltd atf The Minderoo Foundation Trust","Commonwealth Government - Department of Health","29/06/2020","25268856"
"2019-20","Political Campaigner Return","The Minderoo Foundation Pty Ltd atf The Minderoo Foundation Trust","Department of Social Services","09/12/2019","45833"
"2019-20","Political Campaigner Return","The Minderoo Foundation Pty Ltd atf The Minderoo Foundation Trust","WA Government - Department of Health","11/06/2020","488699"
"2019-20","Political Campaigner Return","The Minderoo Foundation Pty Ltd atf The Minderoo Foundation Trust","WA Government - Department of Health","04/06/2020","1130510"
"2019-20","Political Campaigner Return","The Minderoo Foundation Pty Ltd atf The Minderoo Foundation Trust","Department of Social Services","06/09/2019","100833"
"2019-20","Political Campaigner Return","The Minderoo Foundation Pty Ltd atf The Minderoo Foundation Trust","Department of Social Services","16/01/2020","45833"
"2019-20","Political Campaigner Return","The Minderoo Foundation Pty Ltd atf The Minderoo Foundation Trust","Commonwealth Government - Department of Health","29/06/2020","186977856"
"2019-20","Associated Entity Return","The Page Research Centre Ltd","Department of Finance","16/03/2020","129030"
"2019-20","Political Campaigner Return","Universities Australia","Department of Education, Skills and Employment","24/06/2020","308000"
"2019-20","Political Campaigner Return","Universities Australia","Department of Education, Skills and Employment","30/06/2020","1980000"
"2018-19","Political Campaigner Return","Australian Automobile Association","Department of Infrastructure and Regional Development","20/02/2019","2200000"
"2018-19","Political Campaigner Return","Australian Automobile Association","Department of Infrastructure and Regional Development","14/09/2018","2200000"
"2018-19","Political Campaigner Return","Australian Council of Trade Unions","Comcare","29/03/2019","1036"
"2018-19","Political Campaigner Return","Australian Council of Trade Unions","Centrelink","12/02/2019","1438"
"2018-19","Political Campaigner Return","Australian Council of Trade Unions","Centrelink","26/02/2019","1438"
"2018-19","Political Campaigner Return","Australian Council of Trade Unions","Centrelink","12/03/2019","1438"
"2018-19","Political Campaigner Return","Australian Council of Trade Unions","Comcare","05/04/2019","136"
"2018-19","Political Campaigner Return","Australian Council of Trade Unions","Comcare","11/07/2018","1587"
"2018-19","Political Campaigner Return","Australian Council of Trade Unions","Comcare","25/07/2018","1594"
"2018-19","Political Campaigner Return","Australian Council of Trade Unions","Centrelink","26/03/2019","1438"
"2018-19","Political Campaigner Return","Australian Council of Trade Unions","Centrelink","25/01/2019","7193"
"2018-19","Political Campaigner Return","Australian Council of Trade Unions","Department of Jobs and Small Business","20/09/2018","30607"
"2018-19","Political Campaigner Return","Australian Council of Trade Unions","Comcare","08/08/2018","1594"
"2018-19","Political Campaigner Return","Australian Council of Trade Unions","Comcare","22/08/2018","797"
"2018-19","Political Campaigner Return","Australian Council of Trade Unions","Comcare","26/06/2019","1128"
"2018-19","Political Campaigner Return","Australian Council of Trade Unions","Comcare","12/06/2019","1128"
"2018-19","Political Campaigner Return","Australian Council of Trade Unions","Comcare","29/05/2019","1128"
"2018-19","Political Campaigner Return","Australian Council of Trade Unions","Comcare","15/05/2019","3993"
"2018-19","Political Campaigner Return","Australian Council of Trade Unions","Asbestos Safety & Eradication Agency - ASEA NSW","15/11/2018","1039"
"2018-19","Political Campaigner Return","Australian Council of Trade Unions","Asbestos Safety & Eradication Agency - ASEA NSW","18/10/2018","954"
"2018-19","Political Campaigner Return","Australian Council of Trade Unions","Asbestos Safety & Eradication Agency - ASEA NSW","26/07/2018","641"
"2018-19","Political Campaigner Return","Australian Council of Trade Unions","Safe Work Australia","11/10/2018","3300"
"2018-19","Political Campaigner Return","Australian Council of Trade Unions","Office of the Premier of Victoria","13/07/2018","185"
"2018-19","Political Campaigner Return","Australian Council of Trade Unions","Dept of the Treasury","14/06/2019","71"
"2018-19","Political Campaigner Return","Australian Council of Trade Unions","Dept of Defence R1-2--A110","04/01/2019","1055"
"2018-19","Political Campaigner Return","Australian Council of Trade Unions","DTAF FIN-GEN","06/08/2018","1192"
"2018-19","Political Campaigner Return","Australian Council of Trade Unions","Department of Industry, Innovation and Science","23/11/2018","1070"
"2018-19","Political Party Return","Australian Greens","Dept Finance","21/08/2018","75000"
"2018-19","Political Party Return","Australian Greens","Dept Finance","26/07/2018","220000"
"2018-19","Political Party Return","Australian Labor Party (ALP)","Dept Finance","23/08/2018","75000"
"2018-19","Political Party Return","Australian Labor Party (ALP)","Dept Finance","04/09/2018","1100000"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Ageing","25/09/2018","20533"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Ageing","06/08/2018","20534"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Ageing","22/03/2019","20533"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOR, ICE, and Aged Care Training Initiatives","10/12/2018","29250"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","09/11/2018","38500"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","09/10/2018","1073"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","14/06/2019","3071"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOR, ICE, and Aged Care Training Initiatives","05/03/2019","29250"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","10/05/2019","2946"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","10/04/2019","1652"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","16/11/2018","354"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOR, ICE, and Aged Care Training Initiatives","05/11/2018","28306"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOR, ICE, and Aged Care Training Initiatives","02/10/2018","29250"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOR, ICE, and Aged Care Training Initiatives","04/09/2018","28306"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","29/03/2019","343"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOR, ICE, and Aged Care Training Initiatives","07/08/2018","29250"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOR, ICE, and Aged Care Training Initiatives","03/07/2018","29250"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","13/03/2019","1187"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","08/02/2019","1752"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOR, ICE, and Aged Care Training Initiatives","04/06/2019","28306"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOR, ICE, and Aged Care Training Initiatives","02/04/2019","28306"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for Conference held in Carson Centre","04/06/2019","155327"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of State Growth (Skills Tasmania)","13/05/2019","13234"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of State Growth (Skills Tasmania)","12/04/2019","22121"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of State Growth (Skills Tasmania)","14/03/2019","38058"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of State Growth (Skills Tasmania)","10/01/2019","9464"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","25/01/2019","13135"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","11/01/2019","1466"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","11/12/2018","3110"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of State Growth (Skills Tasmania)","06/06/2019","8432"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOR, ICE, and Aged Care Training Initiatives","31/12/2018","29250"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOR, ICE, and Aged Care Training Initiatives","05/02/2019","26419"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of State Growth (Skills Tasmania)","04/12/2018","20077"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOR, ICE, and Aged Care Training Initiatives","07/05/2019","29250"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of State Growth (Skills Tasmania)","12/07/2018","7777"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of State Growth (Skills Tasmania)","07/08/2018","7162"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of State Growth (Skills Tasmania)","11/09/2018","8212"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of State Growth (Skills Tasmania)","11/10/2018","14558"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of State Growth (Skills Tasmania)","08/11/2018","39245"
"2018-19","Associated Entity Return","Australian Services Union - Victorian & Tasmanian Authorities & Services Branch","Department of Health and Human Services","","165000"
"2018-19","Political Campaigner Return","Business Council of Australia","DFAT - Australia's Policy Support to ANZLF","06/07/2018","75000"
"2018-19","Political Campaigner Return","Business Council of Australia","Dept of Prime Minister & Cabinet (ANZLF Indigenous Business Sector)","29/03/2019","55000"
"2018-19","Political Campaigner Return","Business Council of Australia","DFAT - Australia's Policy Support to ANZLF","06/03/2019","75000"
"2018-19","Political Party Return","Country Liberal Party (NT)","Aust Electoral Funding","06/05/2019","10080"
"2018-19","Political Party Return","Liberal Party of Australia","Department of Finance","10/01/2019","89880"
"2018-19","Political Party Return","Liberal Party of Australia","Department of Finance","02/07/2018","1082840"
"2018-19","Political Party Return","Liberal Party of Australia","Department of Finance","23/07/2018","74999"
"2018-19","Associated Entity Return","Media Entertainment & Arts Alliance","Department of Local Government, Sport and Culture Industries, WA","04/12/2018","16500"
"2018-19","Associated Entity Return","Media Entertainment & Arts Alliance","Department of Planning and Environment NSW","25/01/2019","16500"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Industry, Innovation and Science","13/02/2019","750"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Economic Development, Jobs, Transport and Resources (VIC)","09/07/2018","19800"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department Foreign Affairs & Trade","27/02/2019","80"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Primary Industry & Resouces (NT)","13/05/2018","600"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Primary Industry & Resouces (NT)","15/08/2018","750"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Primary Industry & Resouces (NT)","22/11/2018","8600"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Primary Industry & Resouces (NT)","18/07/2018","5500"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Primary Industry & Resouces (NT)","04/03/2019","1300"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Trade, Business and Innovation (NT)","16/11/2019","430"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Trade, Business and Innovation (NT)","07/05/2019","80"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Trade, Business and Innovation (NT)","07/05/2019","80"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Trade, Business and Innovation (NT)","08/02/2019","80"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department Foreign Affairs & Trade","30/07/2018","80"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department Foreign Affairs & Trade","19/06/2019","3970"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Natural Resources, Mines & Energy (QLD)","18/04/2019","5500"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Office of the Chief Minister (NT)","09/08/2019","240"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Office of the Chief Minister (NT)","03/06/2019","5500"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Industry, Innovation and Science","13/02/2019","1490"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Industry, Innovation and Science","13/02/2019","895"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Industry, Innovation and Science","22/10/2018","1890"
